Default Billing Address,عنوان الفواتير الافتراضي,,
Use as My Default Billing Address,استخدم كعنوان إرسال الفواتير الافتراضي,,
Use as My Default Shipping Address,استخدام كما بلدي الافتراضي عنوان الشحن,,
Save Address,حفظ العنوان,,
My Accounting,بلدي المحاسبة,,
Visit Store,قم بزيارة المعرض او المتجر,,
View Store,عرض المتجر,,
Visit Complete Collection,زيارة مجموعة كاملة,,
Visit Profile,انتقل إلى الملف الشخصي,,
View Profile,عرض الصفحة الشخصية,,
Add to Cart,أضف إلى السلة,,
Out of stock,إنتهى من المخزن,,
Add to Wishlist,أضف إلى قائمة الامنيات,,
Add to Compare,أضف للمقارنة,,
Yes,نعم فعلا,,
No,لا,,
Agree as Partner,الموافقة كشريك,,
Disagree as Partner,لا أوافق كشريك,,
Feedback,ردود الفعل,,
View Larger Map,عرض خريطة أكبر,,
Latest Product Added,أحدث المنتجات المضافة,,
Partner profile page,صفحة الملف الشخصي للشريك,,
Invalid profile,ملف شخصي غير صالح,,
Store FootPrint,مخزن فوبرينت,,
View Full Collection,عرض المجموعة الكاملة,,
We\'re from,كان من,,
View Map,إعرض الخريطة,,
Search,بحث,,
Connect with Us,اتصل بنا,,
Send us a message,أرسل لنا رسالة,,
Find us on Facebook,تجدنا علي الفيس بوك,,
Follow us on Twitter,تابعنا على تويتر,,
Write Your Own Feedback,كتابة ملاحظاتك الخاصة,,
How do you rate this Store,كيف تقيم هذا المتجر,,
star,نجمة,,
stars,النجوم,,
Nickname,كنية,,
Summary of Your Review,ملخص المراجعة,,
Submit Review,إرسال مراجعة,,
fill the required fields,املأ الحقول المطلوبة,,
Store Visit,زيارة المتجر,,
About US,معلومات عنا,,
Invalid store,متجر غير صالح,,
Show,تبين,,
per page,لكل صفحة,,
View as,يبدو مثل,,
Sort By,ترتيب حسب,,
Set Ascending Direction,تحديد الاتجاه التنازلي,,
Set Descending Direction,تعيين الاتجاه التنازلي,,
Ask Que,اسأل كيو,,
Ask Question to me,طرح سؤال لي,,
Email,البريد الإلكتروني,,
Edit Magento Product,تحرير المنتج الماجنتو,,
My Order History,تاريخ طلبي,,
My Dashboard,لوحة التحكم,,
My Products List,قائمة المنتجات الخاصة بي,,
Add New Simple Product,إضافة منتج بسيط جديد,,
Product Name,اسم المنتج,,
Sure Want To Delete Magento Product,بالتأكيد تريد حذف المنتج الماجنتو,,
FOR BECOME SELLER CONTACT TO ADMIN..,للاتصال بالبائع إلى أدمين ..,,
Order History,تاريخ الطلب,,
Unable to download File,تعذر تنزيل الملف,,
Download,تحميل,,
From,من عند,,
To,إلى,,
Select Date,حدد تاريخ,,
By,بواسطة,,
Order,طلب,,
Next,التالى,,
Previous,سابق,,
Dashboard,لوحة القيادة,,
Latest Order,أحدث ترتيب,,
Latest Comments & Reviews,أحدث التعليقات و الآراء,,
Value,القيمة,,
Quality,جودة,,
FeedBack By,فيدباك بي,,
Subject,موضوع,,
Ask,يطلب,,
Reset,إعادة تعيين,,
Money,مال,,
Fill all the fields,املأ جميع الحقول,,
Mail Send,إرسال البريد,,
Edit Simple Magento Product,تحرير المنتج الماجنتو بسيط,,
SKU can\'t be left empty,لا يمكن ترك سكو فارغا,,
Edit Account Information,تحرير معلومات الحساب,,
Account Information,معلومات الحساب,,
Partner Email Address,عنوان البريد الإلكتروني للشريك,,
Change Password,تغيير كلمة السر,,
Current Password,كلمة السر الحالية,,
New Password,كلمة السر الجديدة,,
Confirm New Password,تأكيد كلمة المرور الجديدة,,
Required Fields,الحقول المطلوبة,,
Save Account Information,حفظ معلومات الحساب,,
Profile,الملف الشخصي,,
Screen name,الاسم الذي سيظهر,,
Short profile,الملف الشخصي القصير,,
Avatar,الصورة الرمزية,,
Twitter ID,معرف تويتر,,
Facebook ID,معرف الفيسبوك,,
Theme : Background Color,موضوع: لون الخلفية,,
Company Banner,راية الشركة,,
no image,لا توجد صورة,,
Company Logo,شعار الشركة,,
Company Locality,شركة محلية,,
Company Name,اسم الشركة,,
Company Description,وصف الشركة,,
Country Logo,البلد الشعار,,
Description in HTML,الوصف في هتمل,,
Company Profile View,الملف الشخصي للشركة,,
Click for profile view,انقر لعرض الملف الشخصي,,
Company Store View,عرض متجر الشركة,,
Click for store view,انقر لعرض المتجر,,
Company Collection View,عرض مجموعة الشركة,,
Click for collection view,انقر لعرض المجموعة,,
Save Profile,احفظ الملف,,
Payment Mode,طريقة الدفع,,
Payment Details,بيانات الدفع,,
Save Payment,حفظ الدفع,,
Contact Information,معلومات الاتصال,,
Company,شركة,,
Telephone,هاتف,,
Fax,فاكس,,
Address,عنوان,,
Street Address,عنوان الشارع,,
Street Address %s,عنوان الشارع٪ s,,
City,مدينة,,
State/Province,الدولة / مقاطعة,,
"Please select region, state or province",يرجى تحديد المنطقة أو الولاية أو المقاطعة,,
Zip/Postal Code,الرمز البريدي / الرمز البريدي,,
Country,بلد,,
Default Billing Address,عنوان الفواتير الافتراضي,,
Use as My Default Billing Address,استخدم كعنوان إرسال الفواتير الافتراضي,,
Use as My Default Shipping Address,استخدام كما بلدي الافتراضي عنوان الشحن,,
Save Address,حفظ العنوان,,
My Accounting,بلدي المحاسبة,,
View Collection,عرض المجموعة,,
Visit Store,قم بزيارة المعرض او المتجر,,
View Store,عرض المتجر,,
Visit Complete Collection,زيارة مجموعة كاملة,,
Visit Profile,انتقل إلى الملف الشخصي,,
Add to Cart,أضف إلى السلة,,
Out of stock,إنتهى من المخزن,,
Add to Wishlist,أضف إلى قائمة الامنيات,,
Add to Compare,أضف للمقارنة,,
Want To Become Partner,تريد أن تصبح شريكا,,
Yes,نعم فعلا,,
No,لا,,
Agree as Partner,الموافقة كشريك,,
Disagree as Partner,لا أوافق كشريك,,
Feedback,ردود الفعل,,
View Larger Map,عرض خريطة أكبر,,
Latest Product Added,أحدث المنتجات المضافة,,
Partner profile page,صفحة الملف الشخصي للشريك,,
Invalid profile,ملف شخصي غير صالح,,
View Full Collection,عرض المجموعة الكاملة,,
We\'re from,كان من,,
View Map,إعرض الخريطة,,
Search,بحث,,
Connect with Us,اتصل بنا,,
Send us a message,أرسل لنا رسالة,,
Find us on Facebook,تجدنا علي الفيس بوك,,
Follow us on Twitter,تابعنا على تويتر,,
Write Your Own Feedback,كتابة ملاحظاتك الخاصة,,
How do you rate this Store,كيف تقيم هذا المتجر,,
star,نجمة,,
stars,النجوم,,
Nickname,كنية,,
Summary of Your Review,ملخص المراجعة,,
Submit Review,إرسال مراجعة,,
fill the required fields,املأ الحقول المطلوبة,,
Store Visit,زيارة المتجر,,
About US,معلومات عنا,,
Invalid store,متجر غير صالح,,
Show,تبين,,
per page,لكل صفحة,,
View as,يبدو مثل,,
Sort By,ترتيب حسب,,
Set Ascending Direction,تحديد الاتجاه التنازلي,,
Set Descending Direction,تعيين الاتجاه التنازلي,,
Ask Que,اسأل كيو,,
Ask Question to me,طرح سؤال لي,,
Email,البريد الإلكتروني,,
Edit Magento Product,تحرير المنتج الماجنتو,,
My Order History,تاريخ طلبي,,
My Dashboard,لوحة التحكم,,
My Products List,قائمة المنتجات الخاصة بي,,
View Customer,عرض العملاء,,
View Order,مشاهدة الطلب,,
ID,هوية شخصية,,
Name,اسم,,
Status,الحالة,,
Commission %,عمولة ٪,,
Total sales,إجمالي المبيعات,,
Amount Received,تم استلام المبلغ,,
Amount Remain,المبلغ المتبقي,,
Last Pay Amount,آخر مبلغ الدفع,,
Seller Since,البائع منذ,,
Website,موقع الكتروني,,
Orders,أوامر,,
Customer Information,معلومات العميل,,
Account Information,معلومات الحساب,,
Addresses,عناوين,,
Shopping Cart,عربة التسوق,,
Wishlist,الأماني,,
Newsletter,النشرة الإخبارية,,
Product Reviews,تعليقات المنتج,,
Product Tags,علامات المنتج,,
Payment Information,معلومات الدفع,,
Seller Account Information,معلومات حساب البائع,,
Seller Commission,لجنة البائع,,
Add Product,إضافة منتج,,
Remove Product,إزالة المنتج,,
Do You Want To Remove This Seller?,هل تريد حذف هذا البائع؟,,
Do You Want To Make This Customer As Seller?,هل تريد أن تجعل هذا العميل كما البائع؟,,
marketplace,السوق,,
Seller Information,معلومات البائع,,
Twitter ID,معرف تويتر,,
Facebook ID,معرف الفيسبوك,,
Contact Number,رقم الاتصال,,
Shop Title,عنوان المحل,,
Company Locality,شركة محلية,,
Country,بلد,,
Select Country,حدد الدولة,,
Company Description,وصف الشركة,,
Return Policy,سياسة العائدات,,
Shipping Policy,سياسة الشحن,,
Meta Keywords,كلمات دلالية,,
Meta Description,ميتا الوصف,,
Company Banner,راية الشركة,,
Company Logo,شعار الشركة,,
No Record Found.,لا يوجد سجلات.,,
Seller Name,البائع اسم,,
Price Rating(in star),تقييم الأسعار (في النجوم),,
Value Rating(in star),تقييم القيمة (في النجوم),,
Quality Rating(in star),تقييم الجودة (في النجوم),,
Feed Summary,ملخص الخلاصة,,
Feed Review,مراجعة الخلاصة,,
Created At,أنشئت في,,
Status,الحالة,,
UnApproved,غير موافق عليها,,
Approved,وافق,,
Approve,يوافق,,
Unapprove,إلغاء الموافقة,,
Delete,حذف,,
%s Star,٪ s نجمة,,
Ordered,أمر,,
Invoiced,فواتير,,
Shipped,شحنها,,
Canceled,ألغيت,,
Refunded,ردها,,
Pay Seller,دفع البائع,,
Item Pending,العنصر معلق,,
Item Cancelled,تم إلغاء العنصر,,
Item Refunded,العنصر الذي تم رد أمواله,,
Already Paid,مدفوع بالفعل,,
Order#,طلب#,,
Purchased On,تم الشراء,,
Product Name,اسم المنتج,,
Quantity to be Paid,الكمية التي سيتم دفعها,,
Product Total,إجمالي المنتج,,
Total Tax,مجموع الضريبة,,
Total Seller Amount,إجمالي قيمة البائع,,
Total Commission,مجموع اللجنة,,
Status,الحالة,,
Paid Status,الحالة المدفوعة,,
View,رأي,,
Pay,دفع,,
Are you want to make this payment?,هل تريد إجراء هذه الدفعة؟,,
Pending,قيد الانتظار,,
Hold,معلق,,
Paid,دفع,,
Voided,باطلة,,
Email,البريد الإلكتروني,,
Seller,تاجر,,
Group,مجموعة,,
Telephone,هاتف,,
Zip,الرمز البريدي,,
Country,بلد,,
State/Province,الدولة / مقاطعة,,
Seller Since,البائع منذ,,
Reason,السبب,,
Assign Group,تعيين مجموعة,,
Download Status,تحميل الحالة,,
No Products Found.,لم يتم العثور على منتجات.,,
Customer Name,اسم الزبون,,
Preview,معاينة,,
Qty. Confirmed,الكمية. تم تأكيد,,
Qty. Pending,الكمية. قيد الانتظار,,
Earned,حصل,,
Created,خلقت,,
Reason,السبب,,
Seller Email,البائع البريد الإلكتروني,,
Transaction Id,معرف المعاملة,,
Amount,كمية,,
Type,اكتب,,
Method,طريقة,,
Created At,أنشئت في,,
Seller's Transactions,معاملات البائع,,
Sellers Transactions,معاملات البائعين,,
Manage Seller's Product,إدارة منتج البائع,,
Manage Products,إدارة المنتجات,,
Manage Sellers,إدارة البائعين,,
Manage Seller's Commission,إدارة لجنة البائع,,
Manage Commission,إدارة اللجنة,,
Manage Feedback,ادارة الردود,,
Manage Seller's Feedback,إدارة تعليقات البائع,,
Manage Seller's Order,إدارة أمر البائع,,
Show Unapproved Only,إظهار غير موافق عليه فقط,,
%s's Collection,٪ s مجموعة,,
Home,الصفحة الرئيسية,,
Go to Home Page,انتقل إلى الصفحة الرئيسية,,
%s's Feedback,٪ s's فيدباك,,
%s's Location,٪ s موقع,,
Simple Product,منتج بسيط,,
Downloadable Product,منتج قابل للتنزيل,,
Virtual Product,المنتج الظاهري,,
Configurable Product,المنتج شكلي,,
Grouped Product,تجميع المنتجات,,
Bundle Product,حزمة المنتج,,
%s Shop,٪ s شوب,,
Item Manager,مدير البند,,
Items Manager,مدير العناصر,,
Total of %d Feedback(s) has been approved.,تمت الموافقة على إجمالي٪ d من التعليقات.,,
Total of %d Feedback(s) has been unapproved.,لم يتم الموافقة على إجمالي٪ d من التعليقات.,,
Total of %d Feedback(s) has been deleted.,تم حذف إجمالي٪ d من التعليقات.,,
Payment has been successfully done for this seller.,تم إجراء الدفع بنجاح لهذا البائع.,,
%s has been successfully denied to become seller.,تم رفض٪ s بنجاح لتصبح البائع.,,
Seller has been successfully approved.,تمت الموافقة على البائع بنجاح.,,
Seller has been successfully unapproved.,تم رفض البائع بنجاح.,,
%s has been successfully denied to become a seller.,تم رفض٪ s بنجاح لتصبح أحد البائعين.,,
 has been successfully denied., تم رفضه بنجاح.,,
Product successfully approved.,تمت الموافقة على المنتج بنجاح.,,
Please select item(s),الرجاء تحديد العنصر (العناصر),,
Total of %d record(s) were successfully approved,تمت الموافقة على إجمالي٪ d من السجلات بنجاح,,
This order no longer exists.,هذا الطلب لم يعد موجودا.,,
You are not authorize to manage this order.,أنت غير مخول لإدارة هذا الطلب.,,
The message has been sent.,تم إرسال الرسالة.,,
Failed to send the Shipping email.,أخفق إرسال البريد الإلكتروني للشحن.,,
Failed to send the order email.,أخفق إرسال البريد الإلكتروني للطلب.,,
Product Type is Invalid Or Not Allowed,نوع المنتج غير صالح أو غير مسموح به,,
Marketplace Product Type: Simple Product,ماركتبليس نوع المنتج: منتج بسيط,,
Marketplace Product Type: Downloabable Product,السوق نوع المنتج: دونلوابابل المنتج,,
Marketplace Product Type: Virtual Product,ماركتبليس نوع المنتج: المنتج الظاهري,,
Marketplace Product Type: Configurable Product,السوق نوع المنتج: المنتج شكلي,,
I would like to inform you that recently I have added a new product in the store.,أود أن أحيطكم علما بأنني مؤخرا أضفت منتجا جديدا في المتجر.,,
Your product has been Saved successfully.,تم حفظ المنتج بنجاح.,,
Your product has been successfully saved,تم حفظ المنتج بنجاح,,
Attribute Code already exists.,رمز السمة موجود من قبل.,,
Attribute Created Successfully.,تم إنشاء السمة بنجاح.,,
Associate Product created Successfully.,تم إنشاء منتج مشارك بنجاح.,,
Product has been assigned successfully.,تم تعيين المنتج بنجاح.,,
My Product List,قائمة المنتجات الخاصة بي,,
Your request to become a seller was successfully send to admin.,تم إرسال طلبك ليصبح بائع بنجاح إلى المشرف.,,
Seller Request Panel,لوحة طلب البائع,,
Your product has been successfully Updated.,تم تحديث المنتج بنجاح.,,
Marketplace: Edit Simple Magento Product,السوق: تحرير منتج الماجنتو البسيط,,
Marketplace: Edit Virtual Magento Product,السوق: تحرير المنتج الماجنتو الظاهري,,
Marketplace: Edit Downloadable Magento Product,السوق: تحرير منتج الماجنتو القابل للتنزيل,,
Marketplace: Edit Configurable Magento Product,السوق: تحرير المنتج الماجنتو شكلي,,
YOU ARE NOT AUTHORIZE TO DELETE THIS PRODUCT.,أنت غير مؤهل لحذف هذا المنتج.,,
Your Product Has Been Sucessfully Deleted From Your Account.,تم حذف المنتج بنجاح من حسابك.,,
You are not authorized to delete products with id %s,غير مصرح لك بحذف المنتجات التي تحتوي على معرف٪ s,,
Products has been sucessfully deleted from your account,تم حذف المنتجات بنجاح من حسابك,,
My Dashboard,لوحة التحكم,,
Name has to be completed,يجب أن يكتمل الاسم,,
Description has to be completed,يجب أن يكتمل الوصف,,
Short description has to be completed,يجب إكمال الوصف المختصر,,
Price should contain only decimal numbers,يجب أن يحتوي السعر على أرقام عشرية فقط,,
Weight should contain only decimal numbers,يجب أن يحتوي الوزن على أرقام عشرية فقط,,
Product stock should contain only integer numbers,يجب أن يحتوي المخزون المنتج على عدد صحيح فقط,,
Sku Type has to be selected,يجب اختيار نوع سكو,,
Price Type has to be selected,يجب تحديد نوع السعر,,
Weight Type has to be selected,يجب تحديد نوع الوزن,,
Default Title has to be completed,يجب أن يكتمل العنوان الافتراضي,,
Your Payment Information Is Successfully Saved.,تم حفظ معلومات الدفع بنجاح.,,
Profile information has been saved successfully.,تم حفظ معلومات الملف الشخصي بنجاح.,,
Cannot save the customer.,لا يمكن حفظ العميل.,,
Profile Information,معلومات الملف الشخصي,,
The URL Rewrite has been saved.,تم حفظ إعادة كتابة عنوان ورل.,,
Twitterid cannot contain space and special characters.,لا يمكن أن يحتوي تويتريد على مساحة أو أحرف خاصة.,,
Facebookid cannot contain space and special characters',"لا يمكن أن يحتوي فاسيبوكيد على مساحة أو أحرف خاصة """,,
Invalid Background Color,لون الخلفية غير صالح,,
Transactions,المعاملات,,
Transaction Details,تفاصيل الصفقه,,
medium,متوسط,,
None,لا شيء,,
Transaction Amount,قيمة التحويل,,
Comment Message,رسالة تعليق,,
My Orders,طلباتي,,
The order email has been sent.,تم إرسال الطلب بالبريد الإلكتروني.,,
Information has been saved.,تم حفظ المعلومات.,,
canceled,ألغيت,,
The order has been cancelled.,تم إلغاء الطلب.,,
You are not permitted to cancel this order.,لا يسمح لك بإلغاء هذا الطلب.,,
The order is not cancelled.,لم يتم إلغاء الطلب.,,
Invoice has been created for this order.,تم إنشاء فاتورة لهذا الطلب.,,
Can not do shipment as order is in HOLD state.,لا يمكن شحنة كما أمر في حالة هولد.,,
Cannot do shipment for the order separately from invoice.,لا يمكن القيام شحنة للنظام بشكل منفصل من الفاتورة.,,
Cannot do shipment for the order.,لا يمكن القيام شحنة للنظام.,,
The shipment has been created.,تم إنشاء الشحنة.,,
The shipping label has been created.,تم إنشاء علامة الشحن.,,
You are not permitted to generate shipment for this order.,لا يسمح لك بإنشاء شحنة لهذا الطلب.,,
Can not create invoice as order is in HOLD state.,لا يمكن إنشاء فاتورة كما هو الحال في حالة هولد.,,
Cannot create Invoice for this order.,لا يمكن إنشاء فاتورة لهذا الطلب.,,
Credit memo\'s total must be positive.,مذكرة الائتمان \ 's مجموع يجب أن تكون إيجابية.,,
The credit memo has been created.,تم إنشاء مذكرة الائتمان.,,
Cannot save the credit memo.,لا يمكن حفظ مذكرة الائتمان.,,
Products,منتجات,,
Total (ex),الإجمالي (السابق),,
Discount,خصم,,
Qty,الكمية,,
Tax,ضريبة,,
Total (inc),الإجمالي (إنك),,
Credit Memo # ,ملاحظة ائتمانية #,,
Subtotal,حاصل الجمع,,
Invoice # ,فاتورة #,,
Packingslip # ,التعبئة والتغليف #,,
This Shop Name already Exists.,هذا اسم المحل موجود بالفعل.,,
Enter Shop Name of Customer.,أدخل اسم المحل للعميل.,,
I would like to inform you that recently i have updated a product Please approve it soon.,أود أن أحيطكم علما بأن مؤخرا قمت بتحديث منتج يرجى الموافقة عليه قريبا.,,
Shipping & Handling Charges,رسوم الشحن والمناولة,,
Tax Amount,قيمة الضريبة,,
Grandtotal,المبلغ الإجمالي,,
Enabled,تمكين,,
Disabled,معاق,,
The product is already assigned to another seller.,تم تعيين المنتج بالفعل إلى بائع آخر.,,
Product with id,المنتج مع معرف,,
doesn't exist.,غير موجود.,,
Products has been successfully unassigned from seller.,تم إلغاء تعيين المنتجات بنجاح من البائع.,,
By Seller,بواسطة البائع,,
What is the reason to deny this seller?,ما هو سبب رفض هذا البائع؟,,
Cancel,إلغاء,,
Deny,أنكر,,
Seller Payment Information ,معلومات الدفع للبائع,,
Seller Name ,البائع اسم,,
Seller Email ,البائع البريد الإلكتروني,,
Total Amount To Pay ,المبلغ الإجمالي للدفع,,
Add Comment,أضف تعليق,,
Reset,إعادة تعيين,,
What is the reason to deny this product?,ما هو سبب إنكار هذا المنتج؟,,
By,بواسطة,,
wishlist,الأماني,,
Move,نقل,,
tax,ضريبة,,
See price before order confirmation.,راجع السعر قبل تأكيد الطلب.,,
What's this?,ما هذا؟,,
Seller Request Panel,لوحة طلب البائع,,
Save,حفظ,,
Shop URL,شوب ورل,,
Do you want to become seller / vendor ?,"هل تريد أن تصبح البائع / البائع؟
",,
Waiting for admin approval,في انتظار موافقة المشرف,,
Seller's Information,معلومات البائع,,
Search,بحث,,
View Map,إعرض الخريطة,,
View Seller's Profile,عرض ملف البائع,,
SELLER'S COLLECTION,مجموعة البائع,,
Quick Create,إنشاء سريعة,,
Reset,إعادة تعيين,,
Name,اسم,,
Visibility,رؤية,,
Please Select,الرجاء التحديد,,
Not Visible Individually,غير مرئي بشكل فردي,,
Catalog,فهرس,,
Search,بحث,,
"Catalog, Search",كتالوج، بحث,,
Associated Products,المنتجات المرتبطة بها,,
Id,هوية شخصية,,
Attribute Set Name,اسم تعيين السمة,,
Search by id,البحث حسب المعرف,,
Search by product name,البحث حسب اسم المنتج,,
Select Attribute Set,حدد مجموعة السمات,,
Submit,عرض,,
No Product Available,لا يوجد منتج متاح,,
Option,اختيار,,
View,رأي,,
Save Associates Products,حفظ المنتجات الزميلة,,
Save Associated Product,حفظ المنتج المرتبط,,
Required Fields,الحقول المطلوبة,,
 This Combination of attributes already exists. , هذه المجموعة من السمات موجودة بالفعل.,,
To Become a Seller Please Contact to Admin.,لتصبح البائع يرجى الاتصال إلى المشرف.,,
Do You Want To Become Seller / Vendor?,هل تريد أن تصبح البائع / البائع؟,,
Agree as Seller,الموافقة على البائع,,
 Shop URL For Your Marketplace Shop , شوب ورل فور يور ماركتبليس شوب,,
This will be used to display your public profile.,سيتم استخدام هذا لعرض ملفك الشخصي العام.,,
Pending,قيد الانتظار,,
Refunded,ردها,,
Canceled,ألغيت,,
View Credit Memo Details,عرض تفاصيل مذكرة الائتمان,,
Are you sure you want to send credit memo email to customer?,هل تريد بالتأكيد إرسال رسالة إلكترونية إلى بطاقة الائتمان؟,,
Send Email To Customer,إرسال بريد إلكتروني إلى العميل,,
Send Email,ارسل بريد الكتروني,,
Print,طباعة,,
Credit Memo Information,معلومات مذكرة الائتمان,,
Credit Memo #%s - %s | %s,مذكرة الائتمان #٪ s -٪ s | ٪ الصورة,,
Order Information,معلومات الطلب,,
Order # %s,الطلب #٪ s,,
Order Status,حالة الطلب,,
Order Date,تاريخ الطلب,,
Buyer Information,معلومات المشتري,,
Customer Name,اسم الزبون,,
Email,البريد الإلكتروني,,
Shipping Address,عنوان الشحن,,
Shipping Information,معلومات الشحن,,
No shipping information available,لا تتوفر معلومات الشحن,,
Billing Address,عنوان وصول الفواتير,,
Payment Method,طريقة الدفع او السداد,,
Items to Refund,البنود لاسترداد,,
COD Charges,رسوم كود,,
Discount Amount,مقدار الخصم,,
Row Total,إجمالي الصف,,
Credit Memo Totals,مجاميع مذكرة الائتمان,,
Shipping & Handling,شحن وتسليم,,
core,النواة,,
Adjustment Refund,تعديل رد,,
Adjustment Fee,رسوم التعديل,,
Grand Total,المبلغ الإجمالي,,
Back To My Orders,العودة إلى طلبي,,
To Become Seller Please Contact to Admin.,لتصبح البائع يرجى الاتصال إلى المشرف.,,
Add New Downloadable Product,إضافة منتج جديد قابل للتنزيل,,
Add Downloadable Product,إضافة منتج قابل للتنزيل,,
CATEGORIES,الاقسام,,
Short Description,وصف قصير,,
Special Price,سعر خاص,,
Special Price From,سعر خاص من,,
Special Price To,سعر خاص ل,,
Stock Availability,توافر المخزون,,
In Stock,في المخزن,,
Out of Stock,إنتهى من المخزن,,
Tax Class,فئة الضرائب,,
Product Images,صور المنتج,,
Base image,صورة أساسية,,
Add More Images,إضافة المزيد من الصور,,
Downloadable Product,منتج قابل للتنزيل,,
Samples,عينات,,
Title,عنوان,,
File,ملف,,
Add New Row,إضافة صف جديد,,
Links,الروابط,,
Title :,عنوان :,,
Links can be purchased separately :,يمكن شراء الروابط بشكل منفصل:,,
Sample,عينة,,
File,ملف,,
Max. Downloads,ماكس. التنزيلات,,
Upload,تحميل,,
No File Choosen,لا يوجد ملف,,
Unlimited,غير محدود,,
URL,URL,,
Are you sure you want to delete this link?,هل تريد بالتأكيد حذف هذا الرابط؟,,
Saving,إنقاذ,,
Invalid extension! Please Upload an image,إضافة غير صالحة! الرجاء تحميل صورة,,
"File type not allowed,Allowed file:",نوع الملف غير مسموح به، الملف المسموح به:,,
Edit Configurable Product,تحرير المنتج شكلي,,
Associate Products,المنتجات الزميلة,,
Add Associate Products,إضافة منتجات مشارك,,
Edit Product,تحرير المنتج,,
Delete Image,حذف صورة,,
Are you sure you want to delete this image?,هل أنت متأكد أنك تريد حذف هذه الصورة؟,,
You are not authorize to edit this product.,أنت غير مصرح به لتعديل هذا المنتج.,,
Edit Downloadable Product,تعديل المنتج القابل للتنزيل,,
Edit Profile Information,تحرير معلومات الملف الشخصي,,
Allow to Display Twitter Icon in Profile Page,السماح لعرض أيقونة تويتر في صفحة الملف الشخصي,,
Allow to Display Facebook Icon in Profile Page,السماح لعرض أيقونة الفيسبوك في صفحة الملف الشخصي,,
Instagram ID,إنستاغرام إد,,
Allow to Display Instagram Icon in Profile Page,السماح لعرض رمز إينستاجرام في صفحة الملف الشخصي,,
Google Plus ID,معرف غوغل بلوس,,
